primary_keyword_cluster,secondary_terms,search_intent,proposed_page_title,proposed_url,page_type,parent_page,target_customer,conversion_goal,supporting_internal_links,cannibalisation_notes,content_status,priority,evidence_source
how to choose a web developer,"choosing a website development company; questions to ask web designer",informational,How to Choose a Website Development Company in South Africa,/resources/choosing-a-website-development-company/,article,/resources/website-cost-guides/,researching buyers,guide-to-service click,"/process/; /projects/; /services/business-websites/","",draft-live,P2,common long-tail; low competition
what is seo website design,"seo first website; seo friendly website meaning",informational,What Is an SEO-First Website?,/resources/what-is-an-seo-first-website/,article,/resources/seo-guides/,SEO-curious buyers,guide-to-service click,"/services/seo-website-development/; /process/","Supports (not competes with) the SEO service page: informational vs commercial",draft-live,P2,supports differentiation
custom website vs template,"wordpress template vs custom; website builder vs web developer; wix vs developer",comparison,Custom Website vs Template: Which Should You Choose?,/compare/custom-website-vs-template/,comparison,/compare/,undecided buyers,route to service,"/services/business-websites/; /website-packages/","Builder-vs-developer variants consolidated here",live-skeleton,P1,decision-stage gap in SA SERPs
wordpress vs nextjs,"wordpress vs next.js; wordpress alternative for business",comparison,WordPress vs Next.js for Business Websites,/compare/wordpress-vs-nextjs/,comparison,/compare/,technical evaluators,consultation,"/services/custom-web-applications/; /services/seo-website-development/","Also carries 'next.js south africa' demand until dedicated page justified",live-skeleton,P2,stack differentiation
website vs web application,"web app vs website; do i need a web application",comparison,Website vs Web Application: What Does Your Business Need?,/compare/website-vs-web-application/,comparison,/compare/,systems-curious owners,consultation,"/services/custom-web-applications/; /services/admin-panel-development/","",live-skeleton,P2,wedge education
website maintenance options,"do i need website maintenance; maintenance plan vs ad hoc",comparison,Website Maintenance Options Compared,/compare/website-maintenance-options/,comparison,/compare/,site owners,support enquiry,"/services/website-maintenance-and-support/; /pricing/","",live-skeleton,P2,recurring-revenue support
website design pretoria,"web development pretoria; website designers pretoria; web design centurion",local commercial,Website Design & Development in Pretoria,/areas-we-serve/pretoria/,location,/areas-we-serve/,Pretoria businesses,quote request,"/services/lead-generation-websites/; /solutions/contractors/; /contact/","Centurion consolidated here; no separate page (rule 11)",live-skeleton,P1,local SERP sample: beatable WordPress competitors
website design johannesburg,"web development johannesburg; website company sandton",local commercial,Website Design & Development in Johannesburg,/areas-we-serve/johannesburg/,location,/areas-we-serve/,JHB businesses,quote request,"/services/business-websites/; /solutions/; /contact/","Sandton/Midrand consolidated here",live-skeleton,P1,local demand evidence
website design cape town,"web development cape town",local commercial,Website Design & Development in Cape Town,/areas-we-serve/cape-town/,location,/areas-we-serve/,Cape Town businesses,quote request,"",Deferred phase 2 until genuine service evidence exists (D-08),planned,P3,rule 11 compliance
website design prices south africa,"web design price list; how much for a website (commercial variant)",commercial,Website Design Pricing,/pricing/,pricing,/,price-shoppers,quote request,"/website-packages/; /resources/website-cost-south-africa/","Commercial 'our prices' intent; article owns the question intent",live-skeleton,P1,7+ competitors publish pricing pages that rank
web development process,"how does website development work; website project process",informational,Our Web Development Process,/process/,process,/,evaluators,consultation,"/services/; /faq/","",live-skeleton,P2,trust content
web development company faq,"website questions; how long does a website take",informational,Frequently Asked Questions,/faq/,faq,/,evaluators,quote request,"/process/; /pricing/; /contact/","Q&A that doesn't justify articles lives here",live-skeleton,P2,long-tail capture
about web development company,"who builds the websites",navigational,About Us,/about/,about,/,evaluators,consultation,"/process/; /projects/","",live-skeleton,P2,trust
contact web developer,"get website quote; talk to developer",navigational,Contact Us,/contact/,contact,/,ready buyers,contact,"/request-a-quote/","",live-skeleton,P1,conversion
request website quote,"website quote south africa",transactional,Request a Quote,/request-a-quote/,quote,/,ready buyers,quote submit,"/contact/; /website-packages/","",live-skeleton,P1,conversion
projects and case studies,"web development portfolio south africa",commercial,Projects & Case Studies,/projects/,hub,/,evaluators,route to case study,"/services/; /solutions/","Case-study details noindex until real permissioned projects exist (D-07)",live-skeleton,P1,proof architecture
web development guides,"website advice south africa",informational,Guides & Resources,/resources/,hub,/,researchers,route to article,"resource categories and articles","",live-skeleton,P1,authority hub
seo audit south africa,"website seo audit; seo audit service; technical seo audit; affordable seo audit; small-business seo audit; seo audit pretoria",transactional,SEO Audit South Africa - Priority Fixes Included,/seo-audit/,product,/,small businesses & local service sites,purchase or intake,"/services/seo-website-development/; /services/website-redesign/; /pricing/; /resources/what-is-an-seo-first-website/; /request-a-quote/","Owns broad once-off audit hub intent; advanced page owns large-site/ecommerce audit intent; SEO service page owns full SEO-first website development; what-is article owns informational SEO-first education",live,P1,owner product brief 2026-07-22
advanced seo audit south africa,"technical seo audit south africa; ecommerce seo audit; large website seo audit; comprehensive website seo audit; website architecture audit; seo audit for product catalogues",transactional,Advanced SEO Audit South Africa,/seo-audit/advanced/,product,/seo-audit/,established ecommerce & catalogue sites,purchase or intake,"/seo-audit/; /services/ecommerce-websites/; /services/product-catalogue-websites/; /services/website-redesign/; /services/seo-website-development/","Owns complex/large-site audit intent; hub owns broad once-off audit; SEO service owns full SEO-first builds",live,P1,owner brief 2026-07-22
