url,page_title,page_type,page_status,index_status,canonical,in_sitemap,in_navigation,parent,launch_phase,primary_keyword_cluster
/projects/admin-systems/,Admin & System Projects,project-category,live-skeleton,noindex,self,no,none,/projects/,1,(noindex until real projects — D-07)
/projects/damtech-website/,Damtech Website — Dam Lining & Water Storage,project,live-draft,noindex,self,no,none,/projects/,1,(authorised; noindex until screenshots — D-28)
/projects/catalogue-rfq-website-template/,Case Study Template: Catalogue & RFQ Website,project,template,noindex,self,no,none,/projects/,1,(template — D-07)
/projects/proplytic-property-software/,Proplytic — Property Portfolio Software,project,live-draft,noindex,self,no,none,/projects/,1,(authorised; noindex until screenshots — D-28)
/projects/admin-quotation-platform-template/,Case Study Template: Admin & Quotation Platform,project,template,noindex,self,no,none,/projects/,1,(template — D-07)
/resources/,Guides & Resources,hub,live-skeleton,index,self,yes,header+footer,/,1,web development guides
/resources/website-cost-guides/,Website Cost Guides,resource-category,live-skeleton,index,self,yes,none,/resources/,1,website cost guides
/resources/seo-guides/,SEO Guides,resource-category,live-skeleton,index,self,yes,none,/resources/,1,seo guides for business
/resources/website-cost-south-africa/,How Much Does a Website Cost in South Africa?,article,draft-live,index,self,yes,none,/resources/website-cost-guides/,1,website cost south africa
/resources/choosing-a-website-development-company/,How to Choose a Website Development Company in South Africa,article,draft-live,index,self,yes,none,/resources/website-cost-guides/,1,how to choose a web developer
/resources/what-is-an-seo-first-website/,What Is an SEO-First Website?,article,draft-live,index,self,yes,none,/resources/seo-guides/,1,what is seo website design
/compare/,Comparisons,hub,live-skeleton,index,self,yes,footer,/,1,website decision comparisons
/compare/custom-website-vs-template/,Custom Website vs Template: Which Should You Choose?,comparison,live-skeleton,index,self,yes,none,/compare/,1,custom website vs template
/compare/wordpress-vs-nextjs/,WordPress vs Next.js for Business Websites,comparison,live-skeleton,index,self,yes,none,/compare/,1,wordpress vs nextjs
/compare/website-vs-web-application/,Website vs Web Application: What Does Your Business Need?,comparison,live-skeleton,index,self,yes,none,/compare/,1,website vs web application
/compare/website-maintenance-options/,Website Maintenance Options Compared,comparison,live-skeleton,index,self,yes,none,/compare/,1,website maintenance options
/areas-we-serve/,Areas We Serve,hub,live-skeleton,index,self,yes,footer,/,1,web development south africa areas
/areas-we-serve/pretoria/,Website Design & Development in Pretoria,location,live-skeleton,index,self,yes,none,/areas-we-serve/,1,website design pretoria
/areas-we-serve/johannesburg/,Website Design & Development in Johannesburg,location,live-skeleton,index,self,yes,none,/areas-we-serve/,1,website design johannesburg
/areas-we-serve/cape-town/,Website Design & Development in Cape Town,location,planned,not-generated,self,no,none,/areas-we-serve/,2,website design cape town
/about/,About Us,about,live-skeleton,index,self,yes,footer,/,1,about (navigational)
/process/,Our Web Development Process,process,live-skeleton,index,self,yes,footer,/,1,web development process
/pricing/,Website Design Pricing,pricing,live-skeleton,index,self,yes,header+footer,/,1,website design prices south africa
/faq/,Frequently Asked Questions,faq,live-skeleton,index,self,yes,footer,/,1,web development company faq
/contact/,Contact Us,contact,live-skeleton,index,self,yes,header+footer,/,1,contact web developer
/request-a-quote/,Request a Quote,quote,live-skeleton,index,self,yes,cta,/,1,request website quote
/request-a-quote/thank-you/,Thank You,utility,live-skeleton,noindex,self,no,none,/request-a-quote/,1,(conversion completion — noindex)
/legal/privacy-policy/,Privacy Policy,legal,draft,index,self,yes,footer-legal,/,1,(navigational)
/legal/terms-of-service/,Terms of Service,legal,draft,index,self,yes,footer-legal,/,1,(navigational)
/legal/cookie-policy/,Cookie Policy,legal,draft,index,self,yes,footer-legal,/,1,(navigational)
